Open time,Open,High,Low,Close,Volume,Quote volume,Trade count,Taker base volume,Taker quote volume
2020-08-11 00:00:00+00:00,2.85,3.5208,2.8433,3.2985,1552384.78,4939148.938107,13490,741770.79,2370192.681119
2020-08-12 00:00:00+00:00,3.2985,3.9289,3.08,3.7558,1737042.95,6176153.724638,21118,889133.5,3161944.268817
2020-08-13 00:00:00+00:00,3.75,4.1387,3.5003,3.73,1685759.24,6446567.98049,22922,716358.46,2755764.748006
2020-08-14 00:00:00+00:00,3.7207,3.7676,3.321,3.4099,1474161.79,5205834.095977,18581,578651.84,2048896.655467
2020-08-15 00:00:00+00:00,3.4181,3.74,3.15,3.173,1070233.2,3658005.622202,13903,439623.97,1510472.729568
2020-08-16 00:00:00+00:00,3.173,3.4907,3.12,3.3885,668106.53,2227715.62781,10659,267439.48,896424.218505
2020-08-17 00:00:00+00:00,3.3885,3.3952,3.1,3.11,729413.64,2355329.78763,8632,258191.89,833604.429817
2020-08-18 00:00:00+00:00,3.11,3.7092,2.8105,3.3407,2713115.94,8885306.133224,27415,1276599.28,4211377.733932
2020-08-19 00:00:00+00:00,3.334,3.49,2.8,2.8868,1433243.76,4380403.488824,17076,487245.28,1491949.575963
2020-08-20 00:00:00+00:00,2.8962,3.445,2.8871,3.2038,1277827.32,4078240.331482,14169,654313.24,2100682.285326
2020-08-21 00:00:00+00:00,3.2038,3.24,2.89,2.9317,1131895.9,3480342.67494,12957,435955.04,1340925.254726
2020-08-22 00:00:00+00:00,2.9213,3.2,2.7431,3.0126,1169417.78,3433997.193736,10427,535610.79,1579335.779896
2020-08-23 00:00:00+00:00,3.0224,3.4,3.0014,3.25,1198036.69,3846250.69637,11455,701976.44,2259165.675399
2020-08-24 00:00:00+00:00,3.2658,3.62,3.21,3.3405,1315196.06,4504839.417218,15317,634212.19,2181573.743108
2020-08-25 00:00:00+00:00,3.3406,3.3654,3.0001,3.25,1149187.37,3629890.757954,14226,477028.87,1506233.260046
2020-08-26 00:00:00+00:00,3.2576,3.7999,3.1809,3.5684,2290030.56,8065581.239321,23980,1256407.83,4427331.468248
2020-08-27 00:00:00+00:00,3.5557,3.8575,3.2434,3.4501,2412974.8,8578461.964527,25784,1158014.83,4141258.621262
2020-08-28 00:00:00+00:00,3.4503,4.3091,3.4503,4.0063,2581936.84,10089370.365356,30430,1416811.61,5532658.687141
2020-08-29 00:00:00+00:00,4.007,4.1121,3.7748,3.9535,1342844.2,5290923.089625,19319,589471.19,2328966.080747
2020-08-30 00:00:00+00:00,3.9531,4.7117,3.9,4.4309,1815681.99,7967065.168313,26712,864714.97,3787277.378479
2020-08-31 00:00:00+00:00,4.4127,4.8865,4.1,4.7435,1497129.12,6664671.747242,23396,829785.03,3715511.862808
2020-09-01 00:00:00+00:00,4.7432,4.9475,4.3,4.3397,1267574.76,5871722.637441,20174,626210.98,2914616.459194
2020-09-02 00:00:00+00:00,4.3213,4.3506,3.66,4.17,2002058.36,8136932.352629,25545,872236.99,3553812.071207
2020-09-03 00:00:00+00:00,4.17,4.459,3.4772,3.5051,3275612.26,12941589.824478,37166,1415415.57,5628686.608088
2020-09-04 00:00:00+00:00,3.5062,3.8346,3.1739,3.5301,2052197.24,7262296.371156,23918,892868.07,3167604.520482
2020-09-05 00:00:00+00:00,3.5301,3.6637,2.0926,2.6052,4426267.38,11872722.479966,36221,1667142.8,4417379.508314
2020-09-06 00:00:00+00:00,2.6119,3.18,2.2575,3.0941,2898758.91,7940868.463262,24763,1441533.05,3961686.65227
2020-09-07 00:00:00+00:00,3.0785,3.1983,2.38,2.9237,2680083.17,7269853.908694,20763,1237117.42,3357706.94438
2020-09-08 00:00:00+00:00,2.9237,2.9499,2.4,2.468,1626389.7,4163484.174943,17527,594993.2,1526237.016922
2020-09-09 00:00:00+00:00,2.468,3.8838,2.3821,3.6001,6691121.99,22147440.589737,54509,3343480.12,11062516.969111
2020-09-10 00:00:00+00:00,3.6107,3.875,3.304,3.4761,4356890.66,15482088.381925,47297,2075976.54,7395169.700589
2020-09-11 00:00:00+00:00,3.4707,3.5036,3.0316,3.3965,2227636.94,7208721.224244,23696,905328.95,2940779.297983
2020-09-12 00:00:00+00:00,3.3967,3.47,3.1494,3.3316,1161542.47,3845112.025727,14476,555663.3,1842564.180668
2020-09-13 00:00:00+00:00,3.3386,3.47,2.9838,3.2603,2024779.41,6528375.660923,27152,871294.02,2819238.849317
2020-09-14 00:00:00+00:00,3.2656,3.5393,3.0752,3.2641,3351649.61,11170955.417119,53540,1671479.97,5589901.330571
2020-09-15 00:00:00+00:00,3.264,3.3249,2.8955,2.9295,1698391.09,5332430.834567,28139,671971.67,2114488.256676
2020-09-16 00:00:00+00:00,2.9288,2.9293,2.4282,2.5327,4886766.99,12739762.363066,52638,1895992.58,4948031.680855
2020-09-17 00:00:00+00:00,2.5376,2.9389,2.36,2.8829,4635747.31,12078123.514301,50561,2337316.53,6112225.624238
2020-09-18 00:00:00+00:00,2.883,3.16,2.726,3.1144,4169446.23,12294993.323244,49597,2127089.2,6283795.836967
2020-09-19 00:00:00+00:00,3.1084,3.2545,2.9564,3.031,1586219.86,4884899.265676,23707,799968.39,2467075.797405
2020-09-20 00:00:00+00:00,3.0216,3.0319,2.7,2.8628,1456628.58,4183733.720404,19133,620427.02,1786109.987793
2020-09-21 00:00:00+00:00,2.8628,3.0397,2.4689,2.7672,3567879.31,9634412.017789,45379,1721714.67,4642466.955583
2020-09-22 00:00:00+00:00,2.7571,3.0107,2.65,2.9082,3416786.33,9798314.273441,46943,1734855.56,4980218.648734
2020-09-23 00:00:00+00:00,2.9184,3.09,2.7001,2.8548,2762150.96,7980465.497946,34471,1405077.92,4075042.888492
2020-09-24 00:00:00+00:00,2.855,3.2571,2.7804,3.1433,2983701.04,9088676.27259,37434,1621531.93,4936106.601272
2020-09-25 00:00:00+00:00,3.1409,3.2766,2.9003,3.1937,2447843.22,7516842.110046,30447,1162454.55,3567954.000704
2020-09-26 00:00:00+00:00,3.185,3.25,3.03,3.1287,1357018.72,4232119.885692,19471,645639.17,2016567.269921
2020-09-27 00:00:00+00:00,3.1292,3.1857,2.9819,3.1578,983815.86,3052809.12141,13547,495458.24,1540901.263297
2020-09-28 00:00:00+00:00,3.1557,3.2109,2.908,2.9599,1306134.15,3987560.497313,17608,494804.02,1516284.666516
2020-09-29 00:00:00+00:00,2.9549,3.027,2.8735,2.9505,950875.56,2801168.419802,12547,438369.42,1290439.847228
2020-09-30 00:00:00+00:00,2.9447,2.9838,2.8228,2.8967,722757.83,2099223.900761,9631,313432.53,911664.633051
2020-10-01 00:00:00+00:00,2.8967,2.9889,2.65,2.8669,1373061.59,3893342.82485,16798,595327.14,1692229.474861
2020-10-02 00:00:00+00:00,2.8667,2.8873,2.42,2.6232,2788493.11,7275003.798862,26532,1307596.33,3422122.456032
2020-10-03 00:00:00+00:00,2.6231,2.6708,2.5356,2.5439,547025.23,1435302.238821,6342,251124.92,659738.455675
2020-10-04 00:00:00+00:00,2.542,2.5898,2.42,2.5202,765399.21,1911132.616223,8690,330605.85,826124.522533
2020-10-05 00:00:00+00:00,2.5181,2.683,2.4561,2.6522,912587.17,2349406.462249,10397,490424.25,1260469.596402
2020-10-06 00:00:00+00:00,2.6486,2.6604,2.13,2.174,1784025.33,4217794.484588,15210,780760.97,1849835.0088
2020-10-07 00:00:00+00:00,2.1721,2.4083,2.081,2.3005,2087951.2,4681013.952151,14780,955202.82,2146601.93211
2020-10-08 00:00:00+00:00,2.3001,2.4569,2.0123,2.3638,2759189.94,6159554.618655,22492,1422001.18,3185687.421394
2020-10-09 00:00:00+00:00,2.3686,2.63,2.303,2.5314,1878523.79,4668501.519986,19298,931717.29,2313924.547195
2020-10-10 00:00:00+00:00,2.5274,2.6056,2.3873,2.3999,1278940.27,3208987.720961,13855,539604.44,1353174.462273
2020-10-11 00:00:00+00:00,2.3988,2.4607,2.3401,2.4227,898764.08,2160332.631941,9182,421043.55,1012506.150964
2020-10-12 00:00:00+00:00,2.4228,2.7044,2.4132,2.5836,2155387.01,5542124.89453,20035,1220066.62,3135514.502161
2020-10-13 00:00:00+00:00,2.5826,2.5867,2.336,2.4062,1951031.1,4782866.497653,19501,838059.6,2057570.901357
2020-10-14 00:00:00+00:00,2.4061,2.4424,2.2331,2.3107,1125385.85,2631151.893218,11891,470550.03,1104041.844619
2020-10-15 00:00:00+00:00,2.3108,2.3485,2.1932,2.2682,754909.09,1711559.856295,8038,291515.98,662245.7327
2020-10-16 00:00:00+00:00,2.2648,2.269,2.1071,2.1398,1546650.13,3372968.587202,16129,692466.44,1512297.369174
2020-10-17 00:00:00+00:00,2.1374,2.2462,2.1107,2.2053,482249.55,1058101.061082,5450,229039.3,502570.10981
2020-10-18 00:00:00+00:00,2.2031,2.2595,2.1763,2.215,478921.26,1061887.097601,5044,200173.53,444254.854534
2020-10-19 00:00:00+00:00,2.2137,2.2148,2.05,2.0592,909217.19,1903930.178309,9244,427766.85,895784.977168
2020-10-20 00:00:00+00:00,2.0552,2.108,1.8401,1.885,1933167.04,3745710.468754,17172,846647.34,1640259.749337
2020-10-21 00:00:00+00:00,1.8873,2.11,1.8415,1.8887,3222724.75,6268421.040971,27731,1534139.25,2986840.053385
2020-10-22 00:00:00+00:00,1.8868,2.09,1.8481,1.9582,1624778.09,3222019.146192,15518,811626.95,1611410.692047
2020-10-23 00:00:00+00:00,1.9566,1.9902,1.85,1.959,1559992.35,3003774.15618,14300,798355.5,1541482.26762
2020-10-24 00:00:00+00:00,1.9652,1.973,1.88,1.9142,748093.83,1442961.135641,7136,330710.09,638792.310095
2020-10-25 00:00:00+00:00,1.9175,1.9244,1.76,1.7926,1365865.99,2529847.695912,12507,529076.39,979735.830227
2020-10-26 00:00:00+00:00,1.7925,1.8685,1.6121,1.6799,2021871.84,3511995.568414,18268,931978.07,1626153.785011
2020-10-27 00:00:00+00:00,1.6771,1.75,1.5906,1.711,2591150.26,4356307.68907,18450,1218749.23,2052575.269742
2020-10-28 00:00:00+00:00,1.7084,1.7255,1.4508,1.518,3354618.28,5216558.27784,24005,1470357.41,2286343.751064
2020-10-29 00:00:00+00:00,1.5166,1.5754,1.4148,1.4327,1233628.05,1842933.592142,9134,576748.09,863067.540262
2020-10-30 00:00:00+00:00,1.4328,1.4726,1.3163,1.4381,1401628.09,1968214.125436,9225,613805.85,862774.013682
2020-10-31 00:00:00+00:00,1.4383,1.558,1.4266,1.5497,851989.58,1279143.701258,8029,424555.62,638420.705702
2020-11-01 00:00:00+00:00,1.5497,1.6463,1.5137,1.608,960664.24,1513803.241013,6949,487341.32,768604.503515
2020-11-02 00:00:00+00:00,1.6076,1.6432,1.4621,1.4738,867738.07,1329879.298246,5291,404404.21,620514.899573
2020-11-03 00:00:00+00:00,1.4729,1.484,1.4062,1.4118,983164.88,1417472.23241,6306,408887.8,590290.062422
2020-11-04 00:00:00+00:00,1.4123,1.4144,1.2733,1.3912,2560523.86,3469939.628607,12910,1263594.11,1712213.135554
2020-11-05 00:00:00+00:00,1.3895,1.4928,1.3,1.4007,1598492.56,2248173.921394,10773,778161.42,1095817.737605
2020-11-06 00:00:00+00:00,1.403,1.9482,1.3946,1.9,3846546.9,6594074.177594,25259,2095412.56,3593150.256705
2020-11-07 00:00:00+00:00,1.9069,2.4975,1.8276,2.0215,8862610.63,18925496.085891,68805,4670816.37,9999045.008058
2020-11-08 00:00:00+00:00,2.0264,2.2825,1.9608,2.1558,4800345.92,10113462.920695,35673,2460793.33,5192215.234221
2020-11-09 00:00:00+00:00,2.1515,2.1991,1.9456,2.0299,3050443.52,6301466.475163,23122,1507068.95,3119489.103581
2020-11-10 00:00:00+00:00,2.0383,2.3257,2.008,2.2661,2119423.36,4643502.147985,16744,1138155.29,2494659.699411
2020-11-11 00:00:00+00:00,2.2665,2.3,1.9673,2.0,1863686.19,3969960.469142,15371,815224.57,1739080.573556
2020-11-12 00:00:00+00:00,2.0,2.06,1.825,1.9089,1522310.89,2966665.838018,11688,680734.91,1329464.867015
2020-11-13 00:00:00+00:00,1.9089,2.0808,1.8997,2.0141,1595684.08,3182612.615469,11304,803036.62,1601671.484282
2020-11-14 00:00:00+00:00,2.0222,2.0374,1.869,1.9182,1191847.42,2317159.52727,9435,521401.13,1014130.619029
2020-11-15 00:00:00+00:00,1.9204,2.218,1.9133,2.0407,3348186.49,7009325.761049,37547,1742196.14,3651628.338686
2020-11-16 00:00:00+00:00,2.039,2.37,1.9858,2.2626,3192029.56,7162125.476854,37939,1704888.56,3834378.904927
2020-11-17 00:00:00+00:00,2.2665,2.33,2.125,2.1998,2311120.85,5142151.686803,29860,1128083.75,2511938.673677
2020-11-18 00:00:00+00:00,2.1962,2.2173,2.0001,2.1153,2054379.16,4318166.297843,24685,921238.33,1937611.357899
2020-11-19 00:00:00+00:00,2.1122,2.1848,2.0136,2.085,1391861.95,2921103.665305,18220,692709.51,1453704.150266
2020-11-20 00:00:00+00:00,2.0841,2.2387,2.0521,2.1033,1589414.51,3421570.60394,21247,757221.95,1630731.786997
2020-11-21 00:00:00+00:00,2.0999,2.51,2.0351,2.3822,2963489.5,6792951.294501,39232,1571901.84,3611536.696239
2020-11-22 00:00:00+00:00,2.3825,2.4201,2.04,2.1514,2448127.25,5384096.526709,33994,1119236.84,2469790.030015
2020-11-23 00:00:00+00:00,2.161,2.3635,2.112,2.2786,2094160.76,4728024.575351,30597,1054919.11,2386972.314176
2020-11-24 00:00:00+00:00,2.2786,2.4731,2.1338,2.2823,3534792.04,8099789.005977,48091,1810103.56,4159510.468269
2020-11-25 00:00:00+00:00,2.2795,2.49,2.1703,2.2661,3597681.61,8395020.403142,49027,1797578.53,4195022.937335
2020-11-26 00:00:00+00:00,2.2653,2.3101,1.7212,1.9111,6803274.72,13120752.286015,65661,3149151.24,6060013.120219
2020-11-27 00:00:00+00:00,1.9117,2.04,1.7694,1.861,1802241.32,3400282.056161,26159,918887.27,1737437.379091
2020-11-28 00:00:00+00:00,1.8644,1.94,1.8016,1.8868,1381390.77,2587763.391607,19596,673740.88,1260758.45829
2020-11-29 00:00:00+00:00,1.8858,1.947,1.85,1.9153,862711.64,1640192.465796,12732,402962.29,765176.445058
2020-11-30 00:00:00+00:00,1.9184,2.0182,1.9034,1.9665,1094620.01,2153816.628444,16484,529329.35,1041629.687266
2020-12-01 00:00:00+00:00,1.9641,2.1404,1.9168,1.9738,2102911.64,4264962.987415,28459,945313.46,1919066.077364
2020-12-02 00:00:00+00:00,1.9702,2.2098,1.9333,2.1209,2203748.48,4622524.291342,30536,1145169.55,2405446.31824
2020-12-03 00:00:00+00:00,2.119,2.2279,2.074,2.0967,3182362.33,6879026.850462,35011,1593558.08,3450275.352983
2020-12-04 00:00:00+00:00,2.0967,2.1123,1.836,1.8535,1424943.39,2831580.005419,22048,544808.26,1083720.43451
2020-12-05 00:00:00+00:00,1.8507,1.983,1.82,1.9795,1087998.4,2064360.949696,16814,526602.61,999685.610208
2020-12-06 00:00:00+00:00,1.9795,1.9907,1.7956,1.8505,1125736.37,2103758.729584,15434,551204.72,1030212.729277
2020-12-07 00:00:00+00:00,1.8515,1.899,1.8088,1.8272,962743.7,1782235.426144,10812,492102.73,912130.269483
2020-12-08 00:00:00+00:00,1.8301,1.8301,1.6211,1.6631,2296665.59,3952989.975303,24540,1167637.3,2008633.538154
2020-12-09 00:00:00+00:00,1.66,1.6777,1.5,1.6592,2093499.32,3356724.798495,21966,901840.97,1447636.485883
2020-12-10 00:00:00+00:00,1.6599,1.6664,1.5395,1.5683,1061425.89,1690563.374839,13882,504168.1,802192.263691
2020-12-11 00:00:00+00:00,1.5739,1.5774,1.4328,1.4389,1429080.75,2118546.038527,18371,671569.2,994477.027733
2020-12-12 00:00:00+00:00,1.4368,1.5382,1.4366,1.4912,1423640.73,2138974.439021,18488,621218.74,932275.615584
2020-12-13 00:00:00+00:00,1.4909,1.7,1.4578,1.5701,1749534.43,2750609.24284,21708,810044.93,1275662.325975
2020-12-14 00:00:00+00:00,1.5651,1.6253,1.5224,1.5946,1503571.44,2364778.817184,19860,738743.62,1163920.74743
2020-12-15 00:00:00+00:00,1.594,1.8039,1.5875,1.7586,3562068.86,6137279.761818,42721,1797556.42,3092999.475474
2020-12-16 00:00:00+00:00,1.7577,1.7919,1.6025,1.7829,3098111.32,5244157.926672,34965,1433511.89,2428119.08569
2020-12-17 00:00:00+00:00,1.78,1.8064,1.6382,1.68,2528060.41,4361515.596146,32457,1199898.97,2072016.582721
2020-12-18 00:00:00+00:00,1.6769,1.7077,1.6307,1.7014,1127224.49,1881531.610429,17837,507626.91,847600.74398
