Open time,Open,High,Low,Close,Volume,Quote volume,Trade count,Taker base volume,Taker quote volume
2017-12-13 00:00:00+00:00,272.0,330.0,260.0,290.01,9565.16019,2770877.002767,4709,3930.49388,1146169.971193
2017-12-14 00:00:00+00:00,290.01,302.72,252.0,272.4,9631.98382,2666481.1499211,5753,4291.36257,1196920.2245486
2017-12-15 00:00:00+00:00,272.4,314.21,239.99,294.0,16579.78235,4658823.650816,7826,9339.39791,2638328.9636574
2017-12-16 00:00:00+00:00,294.0,305.0,285.0,293.97,9102.10005,2674491.7852775,6151,3601.16255,1062827.0364338
2017-12-17 00:00:00+00:00,293.01,328.8,290.0,311.4,14682.26118,4618546.9664819,10383,8280.0317,2602599.7875425
2017-12-18 00:00:00+00:00,311.23,360.96,277.0,352.0,17210.06137,5445727.6694142,10773,8856.91672,2800302.6165879
2017-12-19 00:00:00+00:00,352.0,366.96,303.01,338.48,23190.32542,7853537.9783908,14897,11056.2242,3756438.002953
2017-12-20 00:00:00+00:00,336.05,357.0,260.0,302.7,31586.76711,9862312.579348,15986,16395.97418,5137734.5180045
2017-12-21 00:00:00+00:00,303.8,325.16,267.01,302.0,26212.1583,7792715.3506441,15163,10555.59249,3149530.0088494
2017-12-22 00:00:00+00:00,303.0,315.0,177.58,250.99,81233.42425,19331731.1139285,33250,34377.90236,8222980.30216
2017-12-23 00:00:00+00:00,250.99,301.52,214.91,253.44,38709.14008,10424037.0623286,19966,17987.80835,4867116.2542472
2017-12-24 00:00:00+00:00,253.44,277.0,220.03,262.9,33435.37202,8272835.2642855,21908,14196.32792,3518824.9285466
2017-12-25 00:00:00+00:00,262.9,277.5,251.4,261.2,24415.6917,6464612.0371434,15740,11408.82582,3022775.1383664
2017-12-26 00:00:00+00:00,261.17,282.82,258.0,277.98,21987.89021,5985168.512649,16186,11878.28315,3236916.9367112
2017-12-27 00:00:00+00:00,277.98,284.34,245.29,262.59,25036.78582,6741018.6729032,17691,11909.13991,3219342.7556619
2017-12-28 00:00:00+00:00,262.61,266.7,222.03,244.68,34832.27138,8365398.2271549,21854,13278.45748,3199091.34266
