Open time,Open,High,Low,Close,Volume,Quote volume,Trade count,Taker base volume,Taker quote volume
2022-01-14 00:00:00+00:00,3240.61,3342.79,3188.0,3307.42,285326.3505,931347172.762881,572125,138986.6442,453872875.293877
2022-01-15 00:00:00+00:00,3307.42,3371.64,3261.0,3326.04,203100.3778,675484534.656949,444485,97533.1176,324387118.029709
2022-01-16 00:00:00+00:00,3326.51,3393.6,3269.62,3346.88,210782.2277,701885138.83374,495317,105304.5398,350817972.668298
2022-01-17 00:00:00+00:00,3346.89,3357.57,3141.1,3209.67,284063.6548,922568646.923763,646419,138706.976,450497992.462888
2022-01-18 00:00:00+00:00,3209.68,3243.87,3082.0,3159.85,299134.2728,943140782.389924,579484,147919.8085,466359496.762586
2022-01-19 00:00:00+00:00,3159.85,3174.87,3000.0,3084.02,332996.5703,1035249881.473593,647383,166361.989,517513738.789529
2022-01-20 00:00:00+00:00,3084.02,3273.37,2987.15,3001.48,357596.7062,1124982397.810134,718946,178166.9919,561491222.664943
2022-01-21 00:00:00+00:00,3001.48,3034.12,2403.0,2568.15,1022021.70024,2828122722.883165,1723216,492708.32186,1364832200.329052
2022-01-22 00:00:00+00:00,2567.47,2626.0,2300.0,2412.18,1081357.54893,2652383041.9991856,1994513,527287.46361,1293783666.72144
2022-01-23 00:00:00+00:00,2412.18,2556.78,2370.8,2539.01,580497.7613,1431696375.615066,1053655,300885.431,742655338.314519
2022-01-24 00:00:00+00:00,2539.0,2539.75,2159.0,2439.29,1123134.70389,2592832133.2002006,1848889,556098.73488,1284560488.6860812
2022-01-25 00:00:00+00:00,2439.56,2506.55,2348.96,2458.83,510152.954,1237051148.4309,946366,261026.4288,633004042.497613
2022-01-26 00:00:00+00:00,2459.04,2722.0,2402.03,2462.99,806441.62289,2058599145.3419724,1384921,405477.92029,1034936471.4965833
2022-01-27 00:00:00+00:00,2463.0,2521.0,2316.43,2424.25,599481.7159,1448742950.458556,1029204,308517.357,745718418.79699
2022-01-28 00:00:00+00:00,2424.02,2558.98,2357.88,2544.99,485149.8065,1183543182.408244,884305,243890.0215,595442818.157094
2022-01-29 00:00:00+00:00,2544.99,2636.66,2520.01,2601.43,376666.8246,966725225.782995,656017,196742.3966,504979471.310492
2022-01-30 00:00:00+00:00,2601.43,2640.0,2542.5,2601.68,290770.0859,755039834.565121,564478,147074.1889,381845687.596601
2022-01-31 00:00:00+00:00,2601.67,2706.77,2476.07,2686.94,444584.851,1154488527.579429,814997,226655.5532,589826074.939442
2022-02-01 00:00:00+00:00,2686.94,2813.0,2673.52,2787.23,390034.27362,1075341490.803359,790343,199367.04362,549663013.504231
2022-02-02 00:00:00+00:00,2787.48,2810.88,2612.72,2680.67,447852.1228,1215958780.122614,819863,225815.1234,613110822.300808
2022-02-03 00:00:00+00:00,2680.25,2726.64,2576.05,2695.46,405043.3931,1068724165.621823,726013,207767.1368,548363711.879621
2022-02-04 00:00:00+00:00,2695.21,2995.0,2671.4,2994.99,664002.9328,1889746043.715049,1235215,338287.3535,962701411.483769
2022-02-05 00:00:00+00:00,2994.99,3060.47,2958.01,3012.65,356803.3071,1073972573.348673,730502,184328.5685,554943551.863471
2022-02-06 00:00:00+00:00,3012.64,3074.56,2950.21,3054.99,249394.5966,749957614.968609,522276,125512.0274,377549134.733216
2022-02-07 00:00:00+00:00,3055.0,3186.0,2991.8,3139.77,455070.2529,1410603197.756882,898923,236657.1049,733764574.033925
2022-02-08 00:00:00+00:00,3139.77,3232.87,3025.21,3116.69,514773.5837,1602652876.881495,910882,258325.7281,804657758.050287
